iter	MultiClass
0	0.6276272145
1	0.4229623067
2	0.3213224858
3	0.2605427076
4	0.2050080853
5	0.1754687415
6	0.1522924475
7	0.1351628828
8	0.1241846969
9	0.1115086966
10	0.09901678554
11	0.09290724147
12	0.08575320515
13	0.08155574989
14	0.07614330208
15	0.07105792684
16	0.06666344823
17	0.06413251826
18	0.06186352112
19	0.05978174854
20	0.05743167998
21	0.05534190168
22	0.05328246211
23	0.05171321789
24	0.05048025392
25	0.0494490975
26	0.04845687395
27	0.04715143671
28	0.04620574592
29	0.04504998026
30	0.04432081598
31	0.04359713941
32	0.04279380081
33	0.04212079169
34	0.04131310788
35	0.04057161945
36	0.03989956617
37	0.03931784927
38	0.03884042482
39	0.0382521534
40	0.03795598582
41	0.03744999231
42	0.03683145083
43	0.03642343264
44	0.03597793362
45	0.03570363909
46	0.03539525322
47	0.0351860642
48	0.03488774394
49	0.03453334154
