iter	Passed	Remaining
0	0	31
1	0	21
2	1	19
3	1	19
4	2	18
5	2	16
6	2	15
7	3	16
8	3	15
9	3	14
10	3	13
11	3	12
12	4	11
13	4	11
14	5	11
15	5	11
16	5	10
17	5	10
18	6	9
19	6	9
20	6	9
21	7	8
22	7	8
23	7	8
24	8	8
25	8	7
26	8	7
27	9	7
28	10	7
29	10	7
30	10	6
31	11	6
32	15	8
33	16	7
34	17	7
35	17	6
36	18	6
37	18	5
38	18	5
39	18	4
40	19	4
41	19	3
42	19	3
43	19	2
44	19	2
45	20	1
46	20	1
47	20	0
48	20	0
49	21	0
61	62
36	161	56
37	162	51
38	163	46
39	163	40
40	163	35
41	163	31
42	164	26
43	164	22
44	164	18
45	164	14
46	165	10
47	165	6
48	166	3
49	166	0
